trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
149,0,149,0,,,,,,,276.91107597099995,275.404726226,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
150,0,150,0,,,,,,,278.64124274999995,277.1261446049999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
151,0,151,0,,,,,,,280.391653939,278.8396116639999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
152,0,152,0,,,,,,,281.9742419019999,280.6077803359999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
153,0,153,0,,,,,,,283.7422957499999,282.173706221,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
154,0,154,0,,,,,,,285.378244042,283.957616725,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
155,0,155,0,,,,,,,287.27672775099995,285.591941735,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
156,0,156,0,,,,,,,289.0605667719999,287.4774918439999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
157,0,157,0,,,,,,,290.4608134399999,289.260527111,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
158,0,158,0,,,,,,,292.32752443699997,290.664197823,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
159,0,159,0,,,,,,,294.231646308,292.52946144299995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
160,0,160,0,,,,,,,296.078841507,294.44962353799997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
